date,LT_Rev
1931-01-01,0.0111
1931-02-01,0.0199
1931-03-01,0.0461
1931-04-01,-0.016200000000000003
1931-05-01,-0.0264
1931-06-01,0.0338
1931-07-01,0.042
1931-08-01,-0.0348
1931-09-01,-0.0701
1931-10-01,0.058499999999999996
1931-11-01,0.0084
1931-12-01,-0.061200000000000004
1932-01-01,0.0666
1932-02-01,0.0032
1932-03-01,0.0125
1932-04-01,0.0038
1932-05-01,0.0978
1932-06-01,-0.0285
1932-07-01,0.175
1932-08-01,0.20829999999999999
1932-09-01,-0.081
1932-10-01,-0.0821
1932-11-01,-0.066
1932-12-01,-0.0883
1933-01-01,0.0232
1933-02-01,-0.0331
1933-03-01,0.0587
1933-04-01,0.3682
1933-05-01,0.32130000000000003
1933-06-01,0.1036
1933-07-01,0.015
1933-08-01,0.0263
1933-09-01,-0.1376
1933-10-01,-0.0634
1933-11-01,0.0212
1933-12-01,-0.004699999999999999
1934-01-01,0.2553
1934-02-01,0.018500000000000003
1934-03-01,-0.0189
1934-04-01,-0.038599999999999995
1934-05-01,-0.0727
1934-06-01,-0.0453
1934-07-01,-0.1377
1934-08-01,0.0554
1934-09-01,0.0012
1934-10-01,-0.0408
1934-11-01,0.0253
1934-12-01,-0.019
1935-01-01,-0.024
1935-02-01,-0.08529999999999999
1935-03-01,-0.0037
1935-04-01,0.055099999999999996
1935-05-01,0.0208
1935-06-01,0.0018
1935-07-01,0.0999
1935-08-01,0.10400000000000001
1935-09-01,-0.0009
1935-10-01,0.0557
1935-11-01,0.0771
1935-12-01,0.0113
1936-01-01,0.12380000000000001
1936-02-01,0.0175
1936-03-01,-0.014499999999999999
1936-04-01,-0.0677
1936-05-01,0.0321
1936-06-01,-0.024900000000000002
1936-07-01,0.0455
1936-08-01,0.0256
1936-09-01,-0.009899999999999999
1936-10-01,0.016
1936-11-01,-0.0231
1936-12-01,0.0338
1937-01-01,0.010700000000000001
1937-02-01,-0.0015
1937-03-01,-0.0182
1937-04-01,-0.0025
1937-05-01,-0.0273
1937-06-01,0.0076
1937-07-01,-0.0123
1937-08-01,-0.022400000000000003
1937-09-01,-0.0355
1937-10-01,0.024399999999999998
1937-11-01,0.0276
1937-12-01,0.013300000000000001
1938-01-01,-0.0045000000000000005
1938-02-01,-0.037000000000000005
1938-03-01,0.0794
1938-04-01,-0.0332
1938-05-01,0.0387
1938-06-01,-0.12300000000000001
1938-07-01,-0.0279
1938-08-01,-0.031400000000000004
1938-09-01,-0.006500000000000001
1938-10-01,0.0542
1938-11-01,-0.0304
1938-12-01,-0.0129
1939-01-01,-0.0108
1939-02-01,0.0241
1939-03-01,-0.0737
1939-04-01,0.010700000000000001
1939-05-01,-0.0007000000000000001
1939-06-01,-0.0504
1939-07-01,0.014499999999999999
1939-08-01,-0.0032
1939-09-01,0.14980000000000002
1939-10-01,-0.038900000000000004
1939-11-01,-0.0388
1939-12-01,-0.0165
1940-01-01,0.0368
1940-02-01,-0.011899999999999999
1940-03-01,-0.012
1940-04-01,0.013300000000000001
1940-05-01,-0.0321
1940-06-01,0.0167
1940-07-01,-0.0141
1940-08-01,-0.018000000000000002
1940-09-01,-0.0159
1940-10-01,0.0086
1940-11-01,-0.050300000000000004
1940-12-01,-0.0294
1941-01-01,0.0285
1941-02-01,-0.0165
