date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07-01,0.011399999999999999,-0.001,-0.009300000000000001,-0.0091,-0.0146,0.013600000000000001,0.0075,0.0008,-0.0028000000000000004,-0.0059,-0.012199999999999999,-0.0042,-0.013500000000000002,-0.0206,-0.0077
1963-08-01,0.0366,0.04769999999999999,0.0634,0.0638,0.09720000000000001,0.0352,0.039,0.0429,0.0526,0.052000000000000005,0.07339999999999999,0.0794,0.0496,0.0906,0.1047
1963-09-01,-0.0278,-0.0076,-0.0070999999999999995,-0.0092,-0.0274,-0.031,-0.022400000000000003,-0.0054,-0.0098,-0.013300000000000001,-0.0017000000000000001,-0.008100000000000001,-0.0102,-0.0191,-0.0368
1963-10-01,0.0074,0.035699999999999996,0.0208,0.0575,0.0305,0.0124,-0.0013,0.02,0.0513,0.0235,0.018600000000000002,0.068,0.047599999999999996,0.030899999999999997,0.0301
1963-11-01,-0.0063,-0.0024,-0.0091,-0.0083,0.0018,-0.0091,-0.0015,0.016,-0.0203,-0.01,-0.0084,-0.011399999999999999,-0.0054,-0.0012,0.0052
1963-12-01,0.026600000000000002,0.0208,0.027000000000000003,0.022400000000000003,0.0075,0.0385,0.006500000000000001,0.0231,0.0184,0.029500000000000002,0.024900000000000002,0.009899999999999999,0.0342,0.0028000000000000004,0.0128
1964-01-01,0.028900000000000002,0.0277,0.0248,0.0351,0.0151,0.0373,0.014199999999999999,0.0274,0.0279,0.0172,0.0313,0.0259,0.0437,0.0199,0.0096
1964-02-01,0.0131,0.013500000000000002,0.019799999999999998,0.029500000000000002,0.03,0.011000000000000001,0.017,0.0062,0.0209,0.0248,0.015600000000000001,0.0192,0.038900000000000004,0.0222,0.038900000000000004
1964-03-01,0.0095,0.0059,0.0241,0.0305,0.059800000000000006,0.0105,0.0077,0.0005,0.011200000000000002,0.030699999999999998,0.0187,0.0204,0.039599999999999996,0.058600000000000006,0.061200000000000004
1964-04-01,0.0235,0.0148,-0.004,-0.024399999999999998,-0.0337,0.0265,0.0182,0.015700000000000002,0.0139,-0.0085,-0.0001,-0.0229,-0.025699999999999997,-0.019299999999999998,-0.049800000000000004
1964-05-01,0.0166,0.015,0.013999999999999999,0.020099999999999996,0.0148,0.0163,0.0172,0.0023,0.0276,0.022099999999999998,0.0070999999999999995,0.009000000000000001,0.0298,0.0161,0.013300000000000001
1964-06-01,0.0177,0.020499999999999997,0.012,0.0113,0.0184,0.0152,0.022000000000000002,0.0381,0.0034000000000000002,0.011200000000000002,0.0127,0.0231,0.0011,0.0199,0.0166
1964-07-01,0.0138,0.0364,0.0219,0.002,0.01,0.0408,0.0067,0.048600000000000004,0.022400000000000003,0.034300000000000004,0.0096,0.011699999999999999,-0.0055000000000000005,0.0127,0.0053
1964-08-01,-0.0097,-0.0049,-0.0129,-0.021400000000000002,-0.0204,0.0134,-0.0159,0.0013,-0.0123,-0.0192,-0.006500000000000001,-0.0154,-0.026099999999999998,-0.0171,-0.0263
1964-09-01,0.0154,0.0335,0.0364,0.0296,0.0591,0.0288,0.011699999999999999,0.0348,0.0319,0.0358,0.037000000000000005,0.031,0.0285,0.059500000000000004,0.0584
1964-10-01,0.01,0.0158,0.013300000000000001,-0.0116,0.004699999999999999,0.011699999999999999,0.0095,0.009399999999999999,0.0233,0.0146,0.0121,0.005600000000000001,-0.025,-0.0021,0.0168
1964-11-01,0.0034999999999999996,0.0027,0.0146,-0.0102,-0.0262,0.0131,0.0008,-0.0026,0.0089,0.0196,0.0096,-0.0017000000000000001,-0.017,-0.0277,-0.023700000000000002
1964-12-01,0.015,0.0018,0.0007000000000000001,-0.004,-0.0078000000000000005,-0.0011,0.0196,0.0058,-0.0028000000000000004,0.0009,0.0004,-0.0105,0.0014000000000000002,-0.0102,-0.0034999999999999996
1965-01-01,0.0129,0.036699999999999997,0.0461,0.06559999999999999,0.0669,0.0288,0.0084,0.04019999999999999,0.0327,0.0555,0.0366,0.049800000000000004,0.0784,0.060599999999999994,0.0779
1965-02-01,-0.0034999999999999996,-0.0069,0.009000000000000001,0.028900000000000002,0.0461,0.011699999999999999,-0.0079,-0.0001,-0.0149,-0.0043,0.0229,0.028300000000000002,0.0294,0.0432,0.051399999999999994
1965-03-01,-0.0141,-0.0042,-0.0216,-0.0064,-0.0006,-0.0001,-0.0181,0.0009,-0.0103,-0.0262,-0.0169,-0.0084,-0.0048,0.0025,-0.0060999999999999995
1965-04-01,0.019799999999999998,0.0383,0.0398,0.04019999999999999,0.0512,0.0129,0.0219,0.048,0.026699999999999998,0.0207,0.058899999999999994,0.0227,0.053899999999999997,0.0528,0.0484
1965-05-01,0.0086,-0.0169,0.0028000000000000004,-0.0064,-0.0118,-0.001,0.011399999999999999,-0.0246,-0.0074,0.021099999999999997,-0.0148,-0.005,-0.0074,-0.0108,-0.013500000000000002
1965-06-01,-0.0379,-0.0405,-0.0506,-0.0611,-0.09539999999999998,-0.0507,-0.0342,-0.054400000000000004,-0.0236,-0.0521,-0.049,-0.0669,-0.0567,-0.0892,-0.10640000000000001
1965-07-01,0.0192,0.0083,0.008100000000000001,0.0248,0.055999999999999994,0.021,0.0178,0.0148,0.005,0.006500000000000001,0.0096,0.0087,0.0362,0.045700000000000005,0.0675
1965-08-01,0.0129,0.0252,0.041100000000000005,0.0432,0.0742,0.011699999999999999,0.0139,0.016200000000000003,0.03,0.0363,0.0458,0.0336,0.049800000000000004,0.0554,0.095
1965-09-01,0.0449,0.0217,0.0242,0.0215,0.0554,0.0492,0.0418,0.0313,0.0168,0.0278,0.0206,0.023,0.020499999999999997,0.0565,0.054299999999999994
1965-10-01,0.0254,0.018799999999999997,0.0264,0.0406,0.0698,0.0176,0.0313,0.028999999999999998,0.013500000000000002,0.021400000000000002,0.031200000000000002,0.0398,0.0412,0.059699999999999996,0.0806
1965-11-01,-0.0077,-0.0207,0.0137,0.0215,0.0647,0.013500000000000002,-0.0232,-0.0079,-0.0276,0.0202,0.0073,0.0333,0.0134,0.0466,0.08349999999999999
1965-12-01,0.0058,0.0109,0.0092,0.0176,0.0471,0.0063,0.0054,0.0070999999999999995,0.0129,0.0067,0.0116,0.0362,0.0045000000000000005,0.0443,0.05
