date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1951-07-01,0.0301,0.0546,0.0793,0.09,0.0644,0.0558,0.0925,0.0699,0.0852,0.0576,0.0795,0.0359,0.08199999999999999,0.0823,0.0969,0.0633,0.099,0.086,0.084
1951-08-01,0.1465,0.0291,0.049100000000000005,0.058600000000000006,0.023799999999999998,0.0467,0.0553,0.0405,0.0622,0.022099999999999998,0.0275,0.0394,0.0558,0.0429,0.060700000000000004,0.0379,0.051699999999999996,0.0649,0.058499999999999996
1951-09-01,-0.028999999999999998,-0.0060999999999999995,0.0023,-0.0036,-0.0053,-0.0046,-0.0102,0.0097,0.0085,-0.0229,0.0326,-0.0076,-0.0007000000000000001,0.0335,-0.0287,0.0182,-0.0263,0.011699999999999999,0.0042
1951-10-01,-0.0362,-0.0461,-0.0148,-0.0194,-0.056900000000000006,-0.0332,0.009300000000000001,-0.018500000000000003,-0.030299999999999997,-0.061399999999999996,-0.048,-0.025,-0.0432,-0.0302,0.0271,-0.0231,0.0017000000000000001,-0.0377,-0.020099999999999996
1951-11-01,0.0833,-0.0043,-0.0043,-0.012,-0.0069,-0.0012,-0.0076,-0.0026,-0.013999999999999999,-0.013999999999999999,0.0074,0.0005,-0.0032,0.0040999999999999995,-0.0125,-0.0013,-0.0085,-0.0146,-0.013000000000000001
1951-12-01,-0.004,0.0381,0.0392,0.0209,0.051500000000000004,0.0212,0.046,0.032799999999999996,0.022799999999999997,0.0668,0.0216,0.0131,0.031400000000000004,0.0138,0.06,0.0364,0.0173,0.0254,0.0192
1952-01-01,0.001,-0.0076,0.0218,0.0378,-0.0103,0.0078000000000000005,0.033,0.022799999999999997,0.0155,-0.028399999999999998,0.0268,-0.0025,0.0204,0.0169,0.0397,0.009899999999999999,0.07980000000000001,0.0051,0.0296
1952-02-01,-0.0322,-0.034300000000000004,-0.0393,-0.055,-0.0387,-0.0333,-0.052199999999999996,-0.0298,-0.052000000000000005,-0.028999999999999998,-0.0576,-0.025699999999999997,-0.0425,-0.037000000000000005,-0.0583,-0.022400000000000003,-0.0603,-0.0512,-0.053099999999999994
1952-03-01,-0.022400000000000003,0.0132,0.0665,0.0604,0.0184,0.0285,0.047400000000000005,0.0889,0.0518,0.024,0.0073,0.0032,0.059699999999999996,0.021,0.0583,0.092,0.0757,0.0594,0.0417
1952-04-01,-0.0495,-0.044000000000000004,-0.0601,-0.0754,-0.0554,-0.0371,-0.056900000000000006,-0.0682,-0.0754,-0.0576,-0.051100000000000007,-0.022000000000000002,-0.0547,-0.0492,-0.06,-0.0666,-0.0753,-0.0721,-0.07980000000000001
1952-05-01,-0.0028000000000000004,0.026600000000000002,0.0274,0.022799999999999997,0.0331,0.0233,0.0242,0.028300000000000002,0.0168,0.0406,0.0179,0.0146,0.0337,0.024900000000000002,0.0239,0.0271,0.0333,0.0176,0.015700000000000002
1952-06-01,0.032,0.0279,0.0521,0.045899999999999996,0.0322,0.0325,0.0525,0.04769999999999999,0.062400000000000004,0.0363,0.0235,0.02,0.0473,0.024900000000000002,0.0636,0.0545,0.0177,0.0645,0.059500000000000004
1952-07-01,0.009000000000000001,0.0124,0.0091,-0.0005,0.0104,0.0154,0.0048,0.0024,0.0123,0.0096,0.0118,0.015600000000000001,0.0147,0.0013,0.011699999999999999,0.0143,-0.013000000000000001,-0.0023,0.022099999999999998
