date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1927-07-01,0.051699999999999996,0.0741,0.081,0.0565,0.0751,0.0803,0.0661,0.1008,0.0451,0.11380000000000001,0.056799999999999996,0.0712,0.08529999999999999,0.0538,0.09050000000000001,0.1216,0.066,0.053399999999999996,0.035
1927-08-01,0.0043,0.0297,0.0163,0.0126,0.038,0.016399999999999998,0.0023,0.0406,0.0012,0.0538,0.0301,0.008,0.021099999999999997,-0.0060999999999999995,0.0183,0.051399999999999994,0.0219,0.0263,-0.0296
1927-09-01,0.0754,0.043,0.0461,0.025699999999999997,0.045700000000000005,0.0433,0.042699999999999995,0.0441,0.024,0.0137,0.0621,0.0356,0.0475,0.038900000000000004,0.0499,0.0536,0.027000000000000003,0.024,0.024
1927-10-01,-0.067,-0.050199999999999995,-0.0369,-0.0311,-0.047599999999999996,-0.057999999999999996,-0.0259,-0.036000000000000004,-0.0256,-0.0658,-0.038599999999999995,-0.0575,-0.0582,-0.0236,-0.03,-0.0362,-0.0355,-0.0126,-0.0425
1927-11-01,0.1013,0.0654,0.056900000000000006,0.08070000000000001,0.0643,0.0837,0.04650000000000001,0.049100000000000005,0.0882,0.0691,0.062,0.0684,0.0919,0.0379,0.0625,0.0353,0.0745,0.076,0.10460000000000001
1927-12-01,0.0217,0.0116,0.0163,0.042300000000000004,0.0111,0.0195,-0.0019,0.0526,0.044800000000000006,0.0152,0.0091,0.0128,0.0231,0.0004,-0.006,0.059500000000000004,0.0403,0.0799,-0.001
1928-01-01,0.0040999999999999995,-0.008,-0.0032,-0.022799999999999997,-0.0126,0.0052,-0.0017000000000000001,-0.0226,-0.018500000000000003,-0.0116,-0.0132,0.0045000000000000005,0.005600000000000001,0.0045000000000000005,-0.013000000000000001,-0.020499999999999997,-0.0264,-0.0191,-0.0176
1928-02-01,-0.0455,-0.0265,-0.0108,-0.0095,-0.0285,-0.0219,-0.0108,-0.0017000000000000001,0.0,-0.0281,-0.0286,-0.021400000000000002,-0.022099999999999998,-0.0165,-0.0003,0.0069,-0.0173,-0.0060999999999999995,0.0085
1928-03-01,0.1382,0.081,0.0922,0.053,0.08710000000000001,0.0583,0.052199999999999996,0.18239999999999998,0.0693,0.1359,0.0625,0.0653,0.0547,0.0404,0.0736,0.2593,0.0393,0.0803,0.054299999999999994
1928-04-01,0.07719999999999999,0.036699999999999997,0.0286,0.0556,0.038900000000000004,0.0282,0.0323,0.033,0.053,0.0409,0.0379,0.030600000000000002,0.0268,0.0378,0.0226,0.022000000000000002,0.0579,0.052300000000000006,0.054000000000000006
1928-05-01,0.0174,0.0074,0.013999999999999999,0.0304,0.0004,0.0113,0.016399999999999998,0.0175,0.0562,-0.0051,0.0034000000000000002,0.026099999999999998,0.0033,0.0181,0.013500000000000002,0.0217,0.008199999999999999,0.0338,0.0875
1928-06-01,-0.0819,-0.044199999999999996,-0.0438,-0.056900000000000006,-0.0451,-0.0444,-0.049,-0.034,-0.0699,-0.0588,-0.0378,-0.0417,-0.0458,-0.0482,-0.050499999999999996,-0.028999999999999998,-0.0452,-0.0521,-0.09359999999999999
1928-07-01,0.0043,0.0128,0.0064,-0.0077,0.016200000000000003,0.0126,0.0049,0.0013,-0.0152,0.0155,0.0166,0.009000000000000001,0.0168,-0.0004,0.0147,0.001,0.002,-0.0128,-0.018799999999999997
1928-08-01,0.0719,0.0929,0.055999999999999994,0.0537,0.1027,0.0785,0.0509,0.055099999999999996,0.0579,0.0885,0.1101,0.0819,0.0746,0.0516,0.049800000000000004,0.0582,0.048499999999999995,0.056100000000000004,0.0605
1928-09-01,0.06480000000000001,0.0177,0.0264,0.026000000000000002,0.0194,0.032,0.0208,0.0207,0.0344,0.0311,0.0134,0.0159,0.0509,0.0195,0.0233,0.0232,0.015300000000000001,0.0483,0.014199999999999999
1928-10-01,0.0174,0.0248,0.013000000000000001,-0.0014000000000000002,0.0125,0.0273,0.0068000000000000005,0.0341,-0.0128,0.0365,0.0007000000000000001,0.038599999999999995,0.0146,0.012199999999999999,-0.0032,0.0436,0.013300000000000001,-0.0286,0.010700000000000001
1928-11-01,0.2183,0.1656,0.0876,0.08900000000000001,0.1323,0.1736,0.068,0.1092,0.0852,0.1277,0.13470000000000001,0.20199999999999999,0.1409,0.060700000000000004,0.0816,0.11599999999999999,0.09390000000000001,0.10640000000000001,0.0547
1928-12-01,-0.0069,0.0088,-0.0055000000000000005,0.018000000000000002,-0.0028000000000000004,0.0124,-0.0105,0.009899999999999999,0.0215,0.020099999999999996,-0.0144,0.0207,0.0023,-0.0075,-0.0161,0.0083,0.013600000000000001,0.0246,0.0166
1929-01-01,0.012,0.042,0.0594,0.0438,0.0271,0.0518,0.0632,0.048,0.06269999999999999,0.07719999999999999,0.0008,0.056900000000000006,0.0455,0.0805,0.0315,0.0603,0.019799999999999998,0.08839999999999999,0.0235
1929-02-01,0.032,-0.015700000000000002,-0.0013,0.010700000000000001,-0.0059,-0.0154,-0.0054,0.0212,0.0025,0.001,-0.0097,-0.0254,-0.003,-0.0064,-0.0036,0.021,0.0215,-0.0060999999999999995,0.016399999999999998
1929-03-01,0.0144,-0.011200000000000002,-0.0034999999999999996,-0.0258,-0.022400000000000003,-0.0012,-0.0049,-0.0032,-0.035,-0.0541,-0.0049,-0.0003,-0.0023,0.0005,-0.0152,0.0013,-0.0137,-0.0418,-0.024300000000000002
1929-04-01,0.0055000000000000005,0.0302,0.0151,-0.0166,0.0404,0.0245,0.014199999999999999,-0.0028000000000000004,-0.0217,0.037599999999999995,0.04190000000000001,0.0204,0.0296,0.015600000000000001,0.011399999999999999,0.0002,-0.0101,-0.0096,-0.0405
1929-05-01,-0.08539999999999999,-0.0323,-0.0629,-0.08460000000000001,-0.055999999999999994,-0.0241,-0.0732,-0.0548,-0.0849,-0.0581,-0.055,-0.009399999999999999,-0.0421,-0.0975,-0.0256,-0.042699999999999995,-0.0843,-0.0928,-0.0722
1929-06-01,0.10220000000000001,0.1373,0.08869999999999999,0.049400000000000006,0.1276,0.1285,0.0883,0.065,0.0406,0.15960000000000002,0.1106,0.1462,0.1061,0.0977,0.0712,0.0668,0.060599999999999994,0.038900000000000004,0.0432
1929-07-01,0.0355,0.0533,0.0414,0.014199999999999999,0.0591,0.0565,0.0521,-0.0086,0.0005,0.0471,0.0718,0.037200000000000004,0.0699,0.0629,0.0363,-0.0206,0.0317,-0.005699999999999999,0.0103
1929-08-01,0.0433,0.1119,0.0836,0.024399999999999998,0.10710000000000001,0.11939999999999999,0.08779999999999999,0.026600000000000002,0.02,0.08349999999999999,0.1313,0.1253,0.11539999999999999,0.0917,0.08199999999999999,0.0256,0.0297,0.0263,0.0103
1929-09-01,-0.0699,-0.0369,-0.061,-0.053099999999999994,-0.0431,-0.0394,-0.0662,-0.0574,-0.0634,-0.051100000000000007,-0.0354,-0.02,-0.0527,-0.07690000000000001,-0.0499,-0.06269999999999999,-0.0405,-0.0698,-0.053099999999999994
1929-10-01,-0.27649999999999997,-0.2494,-0.1324,-0.1407,-0.26789999999999997,-0.16829999999999998,-0.1011,-0.17010000000000003,-0.1527,-0.2791,-0.2576,-0.20120000000000002,-0.145,-0.1112,-0.0862,-0.1841,-0.1263,-0.14029999999999998,-0.1722
1929-11-01,-0.1655,-0.1458,-0.1151,-0.042,-0.1445,-0.131,-0.11289999999999999,-0.0788,-0.0984,-0.1439,-0.145,-0.1491,-0.1191,-0.0998,-0.1318,-0.11359999999999999,0.0231,-0.1139,-0.073
1929-12-01,0.0378,0.0382,-0.0014000000000000002,-0.0508,0.0429,0.0097,-0.0033,-0.0196,-0.024900000000000002,0.059000000000000004,0.0286,0.0268,-0.0013,-0.0204,0.0222,0.0032,-0.077,-0.0333,-0.012
1930-01-01,0.0621,0.061399999999999996,0.038900000000000004,0.0382,0.0733,0.038900000000000004,0.034300000000000004,0.0383,0.0516,0.0683,0.07780000000000001,0.0325,0.043,0.0335,0.0353,0.0436,0.023700000000000002,0.015300000000000001,0.10710000000000001
1930-02-01,0.0602,0.030299999999999997,0.0161,0.015700000000000002,0.0412,0.0167,0.0139,0.013300000000000001,-0.0044,0.033,0.0487,0.0026,0.0258,0.0108,0.0183,0.0045000000000000005,0.0379,-0.0131,0.0078000000000000005
1930-03-01,0.1406,0.0794,0.058499999999999996,0.036000000000000004,0.0608,0.085,0.0506,0.0693,0.0336,0.07490000000000001,0.0482,0.1284,0.0575,0.044800000000000006,0.0587,0.08070000000000001,0.0387,0.0054,0.0721
1930-04-01,-0.0146,0.0091,-0.0452,-0.099,0.0101,-0.0323,-0.030699999999999998,-0.0703,-0.09300000000000001,0.0161,0.0046,0.0066,-0.0587,-0.016,-0.051,-0.057699999999999994,-0.1054,-0.1371,-0.0364
1930-05-01,-0.0305,-0.0225,-0.0031,0.005,-0.0195,-0.0147,-0.013600000000000001,0.0252,-0.015,-0.032,-0.0079,-0.0298,-0.0037,-0.0227,-0.0006,0.024700000000000003,0.0264,-0.0195,-0.0098
1930-06-01,-0.2274,-0.18170000000000003,-0.1276,-0.14150000000000001,-0.1812,-0.1363,-0.133,-0.15259999999999999,-0.1375,-0.1804,-0.182,-0.18289999999999998,-0.1036,-0.1233,-0.1465,-0.155,-0.1456,-0.1702,-0.1002
1930-07-01,0.062400000000000004,0.0349,0.0472,0.0395,0.032799999999999996,0.0364,0.04019999999999999,0.0737,0.0355,0.0253,0.0393,0.0404,0.031,0.0332,0.051399999999999994,0.0886,0.0451,0.0337,0.0392
1930-08-01,-0.0109,0.0155,-0.0143,-0.060899999999999996,0.017,0.0138,-0.049800000000000004,-0.0265,-0.0794,0.0109,0.0223,0.0116,0.0167,-0.0027,-0.12369999999999999,-0.0218,-0.0359,-0.07919999999999999,-0.07980000000000001
1930-09-01,-0.20679999999999998,-0.11699999999999999,-0.12380000000000001,-0.1629,-0.121,-0.1058,-0.1318,-0.1489,-0.17350000000000002,-0.1506,-0.096,-0.10640000000000001,-0.1051,-0.11630000000000001,-0.15960000000000002,-0.14880000000000002,-0.1492,-0.1757,-0.1691
1930-10-01,-0.1593,-0.0814,-0.0924,-0.1119,-0.08220000000000001,-0.0742,-0.12140000000000001,-0.11449999999999999,-0.09179999999999999,-0.1115,-0.0588,-0.0795,-0.06709999999999999,-0.0984,-0.16469999999999999,-0.10339999999999999,-0.1375,-0.0897,-0.09609999999999999
1930-11-01,-0.0904,-0.0302,-0.0281,-0.0034999999999999996,-0.0335,-0.032400000000000005,-0.0431,0.0038,0.0325,-0.038599999999999995,-0.0296,-0.0218,-0.0461,-0.044199999999999996,-0.0407,0.0296,-0.0518,0.025,0.0483
1930-12-01,-0.1553,-0.0677,-0.08,-0.1366,-0.068,-0.0687,-0.1211,-0.07150000000000001,-0.1399,-0.0797,-0.0593,-0.0669,-0.071,-0.1175,-0.1284,-0.045700000000000005,-0.1317,-0.16570000000000001,-0.08689999999999999
1931-01-01,0.1477,0.042,0.079,0.0722,0.037000000000000005,0.0611,0.09720000000000001,0.07400000000000001,0.0745,0.0292,0.042699999999999995,0.054900000000000004,0.0695,0.087,0.11810000000000001,0.0759,0.0689,0.0832,0.0581
1931-02-01,0.244,0.0928,0.08900000000000001,0.1545,0.10369999999999999,0.06269999999999999,0.09519999999999999,0.1281,0.1886,0.1265,0.0873,0.0653,0.0593,0.08650000000000001,0.1127,0.1369,0.105,0.2048,0.1572
1931-03-01,-0.0819,-0.0617,-0.0736,-0.0708,-0.059800000000000006,-0.0676,-0.1032,-0.0344,-0.11789999999999999,-0.0828,-0.042699999999999995,-0.0667,-0.0689,-0.0934,-0.1222,-0.0483,0.0027,-0.1417,-0.0702
1931-04-01,-0.1578,-0.0863,-0.09359999999999999,-0.1822,-0.078,-0.0917,-0.1539,-0.1173,-0.1425,-0.1025,-0.060599999999999994,-0.1082,-0.0695,-0.155,-0.1519,-0.0701,-0.2368,-0.1234,-0.1779
1931-05-01,-0.1518,-0.1283,-0.14679999999999999,-0.15990000000000001,-0.12,-0.1426,-0.16440000000000002,-0.1479,-0.18170000000000003,-0.131,-0.1125,-0.151,-0.132,-0.1791,-0.135,-0.1549,-0.1264,-0.1877,-0.1697
1931-06-01,0.2245,0.1216,0.1364,0.1743,0.11289999999999999,0.13570000000000002,0.1722,0.13570000000000002,0.1816,0.1378,0.09630000000000001,0.1462,0.1225,0.17489999999999997,0.1673,0.1263,0.1638,0.1963,0.1531
1931-07-01,-0.1005,-0.057,-0.0735,-0.11410000000000001,-0.0545,-0.0672,-0.0679,-0.1094,-0.1176,-0.0458,-0.0625,-0.0643,-0.0709,-0.0816,-0.050499999999999996,-0.1082,-0.1108,-0.11130000000000001,-0.1264
