date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1951-07-01,0.0301,0.06309999999999999,0.08470000000000001,0.058899999999999994,0.057,0.0791,0.0943,0.0487,0.0901,0.052000000000000005,0.071,0.0883,0.07400000000000001,0.09119999999999999,0.0959,0.0707,0.0443,0.0969,0.0809
1951-08-01,0.1465,0.0326,0.0475,0.051100000000000007,0.024,0.0553,0.046900000000000004,0.051100000000000007,0.0487,0.0209,0.032400000000000005,0.06709999999999999,0.0487,0.042699999999999995,0.049100000000000005,0.045,0.052300000000000006,0.0484,0.049100000000000005
1951-09-01,-0.028999999999999998,-0.0058,-0.0054,0.013600000000000001,-0.0088,0.0102,-0.0207,0.014199999999999999,0.0116,-0.0173,0.0143,0.0059,0.0126,-0.0055000000000000005,-0.0282,0.012,0.0146,0.0155,0.0063
1951-10-01,-0.0362,-0.0425,-0.0132,-0.0241,-0.047,-0.032799999999999996,0.0078000000000000005,-0.027200000000000002,-0.0217,-0.050300000000000004,-0.0384,-0.0252,-0.0371,-0.0196,0.0217,-0.0369,-0.0252,-0.0327,-0.006500000000000001
1951-11-01,0.0833,-0.0051,-0.0052,-0.0034999999999999996,-0.0040999999999999995,-0.0108,-0.0027,0.0054,-0.0184,-0.0074,0.0045000000000000005,-0.0089,-0.011899999999999999,0.0045000000000000005,-0.0062,0.013999999999999999,0.0037,-0.0123,-0.026600000000000002
1951-12-01,-0.004,0.0352,0.045,0.021,0.038900000000000004,0.0398,0.045700000000000005,0.024900000000000002,0.0060999999999999995,0.049400000000000006,0.0118,0.0217,0.050300000000000004,0.030899999999999997,0.0529,0.0098,0.0281,0.0013,0.0127
1952-01-01,0.001,0.0038,0.0254,0.0013,-0.0038,0.0191,0.0348,-0.0018,0.0218,-0.0213,0.0431,0.032400000000000005,0.0116,0.0045000000000000005,0.049400000000000006,0.0301,-0.008199999999999999,0.0202,0.024
1952-02-01,-0.0322,-0.0352,-0.0475,-0.0282,-0.0298,-0.0487,-0.051100000000000007,-0.0219,-0.0454,-0.0288,-0.0325,-0.0548,-0.0452,-0.0281,-0.0617,-0.0316,-0.0199,-0.049400000000000006,-0.039900000000000005
1952-03-01,-0.022400000000000003,0.0263,0.053899999999999997,0.0667,0.022400000000000003,0.0516,0.0548,0.0678,0.0452,0.0183,0.0327,0.0409,0.0576,0.0509,0.0567,0.025099999999999997,0.0767,0.0437,0.0472
1952-04-01,-0.0495,-0.0462,-0.0674,-0.0489,-0.0451,-0.061500000000000006,-0.06860000000000001,-0.038,-0.08,-0.0432,-0.0499,-0.05,-0.0679,-0.0852,-0.060700000000000004,-0.0548,-0.0347,-0.0837,-0.075
1952-05-01,-0.0028000000000000004,0.0275,0.0288,0.0191,0.0256,0.029300000000000003,0.0291,0.0218,0.0216,0.034,0.0044,0.0348,0.0262,0.0378,0.025,0.0417,0.018000000000000002,0.029300000000000003,0.0115
1952-06-01,0.032,0.0327,0.0449,0.055099999999999996,0.025699999999999997,0.051100000000000007,0.046799999999999994,0.050300000000000004,0.0513,0.0296,0.0159,0.0582,0.047,0.0451,0.04769999999999999,0.0177,0.056799999999999996,0.056600000000000004,0.0443
1952-07-01,0.0124,0.0051,0.012,0.0174,0.0044,0.018500000000000003,0.009899999999999999,0.009000000000000001,0.0183,0.0044,0.0042,0.01,0.0242,0.008100000000000001,0.015300000000000001,0.005600000000000001,0.015600000000000001,0.0177,0.019299999999999998
1952-08-01,-0.0286,-0.0046,-0.02,-0.0195,-0.0083,0.0015,-0.0227,-0.019799999999999998,-0.02,-0.0098,-0.0051,0.018600000000000002,-0.0097,-0.0219,-0.0252,-0.0203,-0.0187,-0.0144,-0.028300000000000002
1952-09-01,0.0418,-0.017,-0.0259,-0.0278,-0.0176,-0.0131,-0.0265,-0.0387,-0.0263,-0.0168,-0.0191,-0.0138,-0.0126,-0.0277,-0.0229,-0.0429,-0.030699999999999998,-0.024700000000000003,-0.028900000000000002
1952-10-01,-0.024300000000000002,-0.0089,0.0001,-0.005699999999999999,-0.008100000000000001,-0.006500000000000001,0.002,-0.0091,-0.003,-0.0077,-0.009000000000000001,-0.013600000000000001,-0.0017000000000000001,0.0091,-0.0184,-0.008,-0.011200000000000002,0.0003,-0.0079
1952-11-01,0.07429999999999999,0.067,0.0368,0.0703,0.0698,0.053399999999999996,0.031200000000000002,0.049,0.0713,0.0711,0.0669,0.0496,0.0559,0.031200000000000002,0.0311,0.038900000000000004,0.068,0.0605,0.08800000000000001
1952-12-01,0.0346,0.0126,0.0384,0.0213,0.013300000000000001,0.0233,0.0414,0.020499999999999997,0.0297,0.0115,0.0173,0.0085,0.0332,0.038,0.051399999999999994,0.0294,0.0042,0.022000000000000002,0.0412
1953-01-01,0.0,-0.0017000000000000001,-0.012199999999999999,0.01,-0.0032,0.0069,-0.0166,-0.0076,0.0111,0.0042,-0.019299999999999998,0.0079,0.0062,-0.014199999999999999,-0.0236,-0.0159,0.0078000000000000005,0.003,0.023
1953-02-01,0.0302,-0.0103,-0.0091,-0.0134,-0.0103,-0.0022,-0.0127,-0.0068000000000000005,-0.0176,-0.012199999999999999,-0.0060999999999999995,-0.0103,0.0031,-0.0139,-0.0091,-0.008,-0.004699999999999999,-0.026000000000000002,-0.0054
1953-03-01,-0.0473,-0.0045000000000000005,-0.025099999999999997,-0.030899999999999997,-0.0040999999999999995,-0.0125,-0.0291,-0.024700000000000003,-0.0262,-0.0066,0.0014000000000000002,-0.0068000000000000005,-0.016200000000000003,-0.0291,-0.0292,-0.0159,-0.0405,-0.023700000000000002,-0.0298
1953-04-01,-0.0417,-0.024900000000000002,-0.030899999999999997,-0.018000000000000002,-0.0252,-0.022099999999999998,-0.034,-0.0321,-0.0077,-0.027200000000000002,-0.0208,-0.0229,-0.0216,-0.0304,-0.0444,-0.0281,-0.0397,-0.011899999999999999,-0.0018
1953-05-01,-0.0118,0.0046,-0.0024,-0.0103,0.005,-0.0085,0.0013,-0.0018,-0.0143,0.0014000000000000002,0.0127,0.0023,-0.0155,-0.0018,0.0106,-0.002,-0.0014000000000000002,-0.0101,-0.0203
1953-06-01,-0.0481,-0.0202,-0.0148,-0.0327,-0.0189,-0.022099999999999998,-0.0127,-0.028399999999999998,-0.028999999999999998,-0.0144,-0.0285,-0.0285,-0.0178,-0.0088,-0.024300000000000002,-0.0217,-0.0409,-0.0248,-0.0349
1953-07-01,0.0144,0.0233,0.0325,0.0128,0.0235,0.0204,0.0291,0.0392,0.0113,0.0263,0.0203,0.0227,0.0182,0.026000000000000002,0.0311,0.049100000000000005,0.0141,0.006,0.0184
1953-08-01,-0.092,-0.0281,-0.0604,-0.0819,-0.023799999999999998,-0.0507,-0.048499999999999995,-0.0751,-0.0795,-0.026600000000000002,-0.020499999999999997,-0.041100000000000005,-0.059800000000000006,-0.0355,-0.0567,-0.0718,-0.084,-0.0793,-0.0797
1953-09-01,-0.0232,0.0116,-0.003,-0.01,0.0113,0.0066,0.0,-0.0123,0.0004,0.0098,0.0131,0.0123,0.0011,-0.0054,0.0034000000000000002,-0.0097,-0.019299999999999998,-0.0013,0.0025
1953-10-01,0.006,0.0359,0.0564,0.0678,0.0353,0.0513,0.044500000000000005,0.062,0.0683,0.040999999999999995,0.0288,0.037599999999999995,0.0646,0.0304,0.0535,0.0601,0.0673,0.061399999999999996,0.07730000000000001
1953-11-01,0.053099999999999994,0.03,0.0125,0.0078000000000000005,0.030299999999999997,0.015700000000000002,0.0264,0.0068000000000000005,0.0132,0.0401,0.0189,0.0291,0.003,0.0148,0.0336,0.0083,0.0028000000000000004,0.0212,0.003
1953-12-01,-0.0664,0.0003,0.0017000000000000001,-0.0005,0.0007000000000000001,-0.005699999999999999,0.0046,0.0089,-0.0069,0.004,-0.0032,-0.0009,-0.0104,-0.0007000000000000001,0.0077,0.0102,0.0055000000000000005,-0.0021,-0.0132
